country_id,region,income_group,country_name,is_country
ABW,Latin America & Caribbean,High income,Aruba,1
AFG,South Asia,Low income,Afghanistan,1
AGO,Sub-Saharan Africa,Lower middle income,Angola,1
ALB,Europe & Central Asia,Upper middle income,Albania,1
AND,Europe & Central Asia,High income,Andorra,1
ARB,,,Arab World,0
ARE,Middle East & North Africa,High income,United Arab Emirates,1
ARG,Latin America & Caribbean,Upper middle income,Argentina,1
ARM,Europe & Central Asia,Upper middle income,Armenia,1
ASM,East Asia & Pacific,Upper middle income,American Samoa,1
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,1
AUS,East Asia & Pacific,High income,Australia,1
AUT,Europe & Central Asia,High income,Austria,1
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,1
BDI,Sub-Saharan Africa,Low income,Burundi,1
BEL,Europe & Central Asia,High income,Belgium,1
BEN,Sub-Saharan Africa,Lower middle income,Benin,1
BFA,Sub-Saharan Africa,Low income,Burkina Faso,1
BGD,South Asia,Lower middle income,Bangladesh,1
BGR,Europe & Central Asia,Upper middle income,Bulgaria,1
BHR,Middle East & North Africa,High income,Bahrain,1
BHS,Latin America & Caribbean,High income,"Bahamas, The",1
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,1
BLR,Europe & Central Asia,Upper middle income,Belarus,1
BLZ,Latin America & Caribbean,Upper middle income,Belize,1
BMU,North America,High income,Bermuda,1
BOL,Latin America & Caribbean,Lower middle income,Bolivia,1
BRA,Latin America & Caribbean,Upper middle income,Brazil,1
BRB,Latin America & Caribbean,High income,Barbados,1
BRN,East Asia & Pacific,High income,Brunei Darussalam,1
BTN,South Asia,Lower middle income,Bhutan,1
BWA,Sub-Saharan Africa,Upper middle income,Botswana,1
CAF,Sub-Saharan Africa,Low income,Central African Republic,1
CAN,North America,High income,Canada,1
CEB,,,Central Europe and the Baltics,0
CHE,Europe & Central Asia,High income,Switzerland,1
CHI,Europe & Central Asia,High income,Channel Islands,1
CHL,Latin America & Caribbean,High income,Chile,1
CHN,East Asia & Pacific,Upper middle income,China,1
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,1
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,1
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",1
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",1
COL,Latin America & Caribbean,Upper middle income,Colombia,1
COM,Sub-Saharan Africa,Lower middle income,Comoros,1
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,1
CRI,Latin America & Caribbean,Upper middle income,Costa Rica,1
CSS,,,Caribbean small states,0
CUB,Latin America & Caribbean,Upper middle income,Cuba,1
